Name,Rank,GPA,TOEFL,GRE,Students,Tution($)
Massachusetts Institute of Technology,1,None,100,Not Required,"3,130","53,450"
Stanford University,2,3.6,100,Not Required,"3,444","55,905"
University of California--Berkeley,3,3.0,90,Not Required,"2,337","26,544"
Carnegie Mellon University,4,None,100,Required,"4,112","48,500"
University of Illinois--Urbana-Champaign,5,3.0,103,Not Required,"3,736","35,458"
Georgia Institute of Technology,6,3.5,90,Required,"4,252","29,140"
University of Michigan--Ann Arbor,7,None,100,Required,"3,247","51,126"
Princeton University,8,3.6,None,Required,680,"0"
California Institute of Technology,9,None,None,Required,536,"0"
Cornell University,10,3.5,77,Not Required,"2,390","29,500"
University of Texas--Austin (Cockrell),11,3.0,79,Not Required,"2,076","19,320"
Purdue University--West Lafayette,12,None,100,Not Required,"3,428","29,132"
University of Washington,13,None,92,Not Required,"1,787","32,439"
Columbia University (Fu Foundation),14,None,None,Required,"2,484","50,496"
University of California--San Diego (Jacobs),15,3.0,85,Not Required,"3,141","26,544"
University of Maryland--College Park (Clark),16,None,100,Required,"1,604","1,625"
University of Wisconsin--Madison,17,3.0,92,Required,"1,373","24,054"
University of Southern California (Viterbi),18,None,100,Required,"4,511","2,075"
Virginia Tech,19,3.0,90,Not Required,"1,881","27,614"
Duke University (Pratt),20,None,None,Required,"1,370","55,680"
Harvard University,21,None,80,Not Required,679,"54,880"
University of Pennsylvania,22,3.0,100,Required,"2,199","40,716"
Northwestern University (McCormick),23,None,90,Not Required,"1,910","56,067"
Ohio State University,24,3.2,79,Required,"1,633","35,144"
Pennsylvania State University--University Park,25,None,80,Required,"1,846","39,216"
Rice University (Brown),26,3.0,90,Required,981,"48,330"
University of Minnesota--Twin Cities,27,None,79,Not Required,"1,534","2,267"
Johns Hopkins University (Whiting),28,None,100,Required,"1,929","55,850"
Texas A&M University--College Station,29,None,80,Not Required,"3,038","779"
Arizona State University (Fulton),30,3.0,90,Required,"3,075","31,400"
North Carolina State University,31,3.0,80,Required,"3,005","26,421"
University of Colorado--Boulder,32,3.0,83,Not Required,"1,870","34,128"
University of Florida,33,3.0,80,Not Required,"2,117","27,335"
University of Virginia,34,None,90,Not Required,"1,011","28,330"
Yale University,35,None,None,Required,348,"43,300"
Northeastern University,36,None,90,Required,"6,212","1,616"
University of California--Davis,37,None,80,Not Required,"1,208","28,700"
University of California--Irvine (Samueli),38,3.0,80,Required,"1,660","26,544"
Washington University in St. Louis,39,None,90,Not Required,"1,161","54,250"
New York University (Tandon),40,None,None,Required,"2,284","1,869"
"Rutgers, The State University of New Jersey--New Brunswick",41,None,83,Required,796,"30,144"
Boston University,42,None,84,Not Required,"1,111","54,720"
Iowa State University,43,3.3,79,Required,"1,340","27,892"
University of Arizona,44,3.2,79,Required,836,"32,065"
Brown University,45,None,105,Not Required,488,"8,321"
Rensselaer Polytechnic Institute,46,None,88,Required,664,"54,000"
University of Massachusetts--Amherst,47,None,80,Not Required,"1,122","32,392"
University of Notre Dame,48,None,80,Not Required,544,"54,908"
Stony Brook University--SUNY,49,3.0,80,Required,"1,279","23,100"
University of Pittsburgh (Swanson),50,None,80,Required,794,"45,808"
