,Name,Rank,GPA,TOEFL,GRE,Students,Tuition($),Score,Student/Faculty Ratio,Master Acceptance,Master Applicants,Phd Acceptance,Phd Applicants,Students Score,Tuition($) Score,Student/Faculty Ratio Score,Master Acceptance Score,Master Applicants Score,Phd Acceptance Score,Phd Applicants Score,act,ai,arch,bio,chi,comm,crypt,da,ecom,graph,hpc,ir,log,metrics,mlmining,mobile,mod,nlp,ops,plan,robotics,sec,soft,vision,visualization,bed
0,Massachusetts Institute of Technology,1,0,100,Not Required,3130,53450,100,5.5,21.9,1996,8.2,8240,47.4420191,95.3323702,68,36.07142857,11.39439723,4.241071429,100,42,29,11,4,30,33,9,3,3,19,1,1,4,6,114,6,42,17,17,14,88,4,1,80,0,0
1,Stanford University,2,3.6,100,Not Required,3444,55905,88,7.1,13.8,6547,8.9,4659,52.79672578,99.71105998,100,21.60714286,40.04406673,5.803571429,53.59595698,41,24,13,3,54,13,6,15,3,18,3,13,9,2,135,2,14,37,7,9,66,11,0,94,3,0
2,University of California--Berkeley,3,3,90,Not Required,2337,26544,82,5.5,29.6,5540,9.7,6078,33.91882674,47.34335705,68,49.82142857,33.70475291,7.589285714,71.98393158,27,25,7,0,24,24,17,12,0,15,4,0,9,1,161,6,27,13,5,4,138,26,8,110,2,1
3,Carnegie Mellon University,4,0,100,Required,4112,48500,76,4.8,20.2,16071,12.6,6223,64.18826739,86.50364742,54,33.03571429,100,14.0625,73.86290009,72,73,19,9,147,21,16,6,1,22,3,12,6,14,180,9,20,125,10,20,55,18,17,105,0,7
4,University of Illinois--Urbana-Champaign,5,3,103,Not Required,3736,35458,69,4.5,28.6,8514,23.5,4733,57.77626194,63.24219238,48,48.03571429,52.42681775,38.39285714,54.55487884,23,37,47,4,29,17,6,16,2,0,11,40,12,10,68,14,9,39,2,17,28,52,15,58,5,4
5,Georgia Institute of Technology,6,3.5,90,Required,4252,29140,73,4.4,25.2,7899,26.5,4177,66.57571623,51.97353167,46,41.96428571,48.55524079,45.08928571,47.35000648,15,36,29,2,62,5,3,6,1,2,11,20,1,4,65,1,17,17,6,4,37,36,5,36,24,1
6,University of Michigan--Ann Arbor,7,0,100,Required,3247,51126,76,4.6,35.3,6480,16.5,4644,49.4372442,91.18732945,50,60,39.62228517,22.76785714,53.40158093,7,32,32,0,61,9,3,17,7,0,3,21,0,9,14,6,23,43,8,7,12,36,3,30,1,4
7,Princeton University,8,3.6,0,Required,680,0,57,4.3,1.7,948,14.5,2488,5.661664393,0,44,0,4.796978281,18.30357143,25.46326293,17,4,22,2,2,18,10,2,8,3,0,3,6,3,34,3,0,5,0,11,3,18,0,20,0,0
8,California Institute of Technology,9,0,0,Required,536,0,76,5.1,9.3,324,7.5,3106,3.206002729,0,60,13.57142857,0.8687440982,2.678571429,33.4715563,9,3,0,0,0,0,3,0,0,8,0,0,0,6,16,0,0,1,0,0,4,0,0,11,0,0
9,Cornell University,10,3.5,77,Not Required,2390,29500,67,4.9,34.5,6547,14.8,4297,34.82264666,52.6156206,56,58.57142857,40.04406673,18.97321429,48.9050149,7,25,14,0,34,16,16,14,3,12,0,22,2,4,83,0,9,55,2,9,22,35,3,70,3,0
10,University of Texas--Austin (Cockrell),11,3,79,Not Required,2076,19320,69,5,20.9,5067,22.8,3974,29.46793997,34.45877254,58,34.28571429,30.72710104,36.83035714,44.71945056,10,37,11,0,2,4,8,4,0,7,0,0,4,0,43,5,7,30,5,13,22,3,4,23,0,1
11,Purdue University--West Lafayette,12,0,100,Not Required,3428,29132,75,5.7,34.8,5959,30.4,3042,52.52387449,51.95926302,72,59.10714286,36.34246144,53.79464286,32.64221848,9,20,6,1,3,4,4,1,1,0,5,15,4,4,30,4,10,8,1,12,7,35,11,1,5,1
12,University of Washington,13,0,92,Not Required,1787,32439,54,3.6,57.7,3424,11.3,4318,24.53956344,57.85756327,30,100,20.38401007,11.16071429,49.17714138,34,9,5,1,129,21,13,2,1,9,0,7,4,3,49,5,16,110,8,8,24,9,1,26,4,0
13,Columbia University (Fu Foundation),14,0,0,Required,2484,50496,67,4.7,24.4,11951,8.6,2881,36.42564802,90.06367382,52,40.53571429,74.063582,5.133928571,30.55591551,36,13,10,1,7,5,7,1,4,9,0,4,2,5,35,4,9,24,3,4,13,14,5,30,3,0
14,University of California--San Diego (Jacobs),15,3,85,Not Required,3141,26544,71,5.8,31.9,8933,16.1,3953,47.62960437,47.34335705,74,53.92857143,55.06452628,21.875,44.44732409,18,21,27,3,31,12,8,41,0,25,1,6,4,14,58,13,17,40,1,20,23,25,0,81,2,0
15,University of Maryland--College Park (Clark),16,0,100,Required,1604,1625,58,3.8,26.8,2603,18.4,2276,21.41882674,2.898318084,34,44.82142857,15.21561221,27.00892857,22.71608138,19,58,2,4,46,8,16,5,9,5,7,4,0,4,30,3,5,32,1,9,37,36,0,66,26,0
16,University of Wisconsin--Madison,17,3,92,Required,1373,24054,54,3.3,31.1,3539,27.3,2215,17.47953615,42.90224196,24,52.5,21.10796349,46.875,21.92561876,17,13,9,1,9,12,0,2,3,6,2,1,13,3,49,4,29,5,9,22,9,13,6,25,3,0
17,University of Southern California (Viterbi),18,0,100,Required,4511,2075,69,5.5,24,14237,16,2750,70.99249659,3.700929245,68,39.82142857,88.45451684,21.65178571,28.85836465,10,44,22,0,1,7,0,2,1,6,3,5,2,1,35,3,5,28,0,2,28,0,5,41,0,1
18,Virginia Tech,19,3,90,Not Required,1881,27614,52,2.9,44.8,2533,37.9,1355,26.1425648,49.25178804,16,76.96428571,14.77494492,70.53571429,10.78139173,4,21,8,1,9,0,0,2,0,2,3,9,0,5,3,1,4,13,1,0,0,10,10,17,5,0
19,Duke University (Pratt),20,0,0,Required,1370,55680,55,4.3,40.5,3554,13.6,1662,17.42837653,99.3097544,44,69.28571429,21.20239219,16.29464286,14.75962161,11,26,5,2,0,1,2,21,6,0,0,3,1,8,43,2,26,16,0,0,4,10,0,13,0,1
20,Harvard University,21,0,80,Not Required,679,54880,56,5.1,9.9,1940,6.3,2510,5.644611187,97.88289011,60,14.64285714,11.04186339,0,25.7483478,11,42,1,0,12,10,3,1,9,0,1,2,0,1,32,1,11,4,2,1,3,0,1,4,15,0
21,University of Pennsylvania,22,3,100,Required,2199,40716,62,5.1,25.2,6290,13.6,2372,31.56548431,72.62025791,60,41.96428571,38.42618823,16.29464286,23.96008812,19,16,5,0,2,6,1,1,3,12,0,2,3,2,38,0,10,50,2,15,73,7,1,26,1,8
22,Northwestern University (McCormick),23,0,90,Not Required,1910,56067,60,4.6,25.9,6746,13.1,3045,26.63710778,100,50,43.21428571,41.2968209,15.17857143,32.68109369,8,11,8,0,44,0,3,13,1,0,4,6,1,1,23,3,2,8,0,7,8,4,0,6,10,1
23,Ohio State University,24,3.2,79,Required,1633,35144,51,3.6,44.7,2656,38.2,1346,21.91336971,62.68214814,30,76.78571429,15.54926031,71.20535714,10.6647661,0,12,2,0,1,2,0,0,0,2,10,6,0,7,18,5,7,15,1,3,0,31,3,6,5,1
24,Pennsylvania State University--University Park,25,0,80,Required,1846,39216,48,3.3,37.1,2313,29.6,1965,25.54570259,69.94488737,24,63.21428571,13.38999056,52.00892857,18.68601788,1,29,33,2,9,0,5,9,0,0,3,14,0,9,18,2,7,6,3,5,0,47,1,8,0,0
25,Rice University (Brown),26,3,90,Required,981,48330,49,5.2,31,3021,17.4,2168,10.7946794,86.20043876,62,52.32142857,17.8470255,24.77678571,21.3165738,0,17,0,2,5,4,0,0,0,1,4,2,5,0,15,3,8,0,0,2,7,3,1,4,0,0
26,University of Minnesota--Twin Cities,27,0,79,Not Required,1534,2267,50,3.9,39.2,1697,30.2,1567,20.22510232,4.043376674,36,66.96428571,9.512118351,53.34821429,13.52857328,1,10,3,0,16,1,0,1,1,1,2,6,0,3,12,10,0,1,0,0,31,13,0,8,3,0
27,Johns Hopkins University (Whiting),28,0,100,Required,1929,55850,63,4.7,41.6,6394,15.8,2685,26.96111869,99.61296306,52,71.25,39.08089393,21.20535714,28.01606842,3,9,2,1,0,8,8,0,0,1,0,0,0,2,25,0,1,45,3,0,16,11,0,45,0,0
28,Texas A&M University--College Station,29,0,80,Not Required,3038,779,68,3.8,34.6,5548,47,1558,45.87312415,1.3894091,34,58.75,33.75511489,90.84821429,13.41194765,0,27,5,0,18,0,4,5,0,5,1,13,0,0,35,0,1,9,0,1,16,15,6,13,4,0
29,Arizona State University (Fulton),30,3,90,Required,3075,31400,44,3.1,57.6,8380,48.9,1198,46.50409277,56.00442328,20,99.82142857,51.58325464,95.08928571,8.746922379,0,32,4,0,1,0,4,2,0,0,0,5,0,0,6,2,4,3,1,0,18,19,0,9,3,2
30,North Carolina State University,31,3,80,Required,3005,26421,54,3.5,31.1,5208,35.1,1505,45.31036835,47.12397667,28,52.5,31.61473088,64.28571429,12.72515226,2,10,4,0,7,0,0,0,0,0,14,2,0,2,1,1,2,2,0,1,0,13,24,0,0,2
31,University of Colorado--Boulder,32,3,83,Not Required,1870,34128,53,5,50.3,2443,25.2,1642,25.95497954,60.8700305,58,86.78571429,14.20837268,42.1875,14.50045354,0,13,2,0,46,2,0,1,3,0,2,5,5,1,14,15,0,19,0,0,22,6,4,1,9,0
32,University of Florida,33,3,80,Not Required,2117,27335,41,2.9,44.4,4571,28.7,1154,30.16712142,48.75416912,16,76.25,27.60465848,50,8.176752624,0,3,0,2,4,0,2,0,0,1,1,0,0,3,7,0,2,0,0,0,0,16,0,0,2,0
33,University of Virginia,34,0,90,Not Required,1011,28330,44,4.3,29.6,1517,28.5,1095,11.30627558,50.52883158,44,49.82142857,8.378973875,49.55357143,7.412206816,4,39,10,0,12,1,9,1,2,0,1,16,2,0,28,4,0,6,0,0,8,12,7,5,1,1
34,Yale University,35,0,0,Required,348,43300,45,3.7,13.5,813,17.2,780,0,77.22902955,32,21.07142857,3.947119924,24.33035714,3.330309706,8,12,13,0,1,4,0,1,2,5,1,0,3,2,25,1,2,13,1,4,14,2,0,1,0,0
35,Northeastern University,36,0,90,Required,6212,1616,50,4.6,47.2,14701,18.2,1999,100,2.88226586,50,81.25,91.37551149,26.5625,19.1266036,8,42,9,3,13,2,16,18,0,0,5,13,3,17,23,2,13,12,1,9,12,30,2,30,3,1
36,University of California--Davis,37,0,80,Not Required,1208,28700,49,4.2,31.1,3394,24.2,1189,14.66575716,51.18875631,42,52.5,20.19515266,39.95535714,8.630296747,2,16,3,0,8,0,1,6,0,4,1,3,0,1,8,0,1,14,0,1,0,3,7,13,11,0
37,University of California--Irvine (Samueli),38,3,80,Required,1660,26544,47,4.1,25.1,7127,20.4,2186,22.37380628,47.34335705,40,41.78571429,43.69531004,31.47321429,21.54982506,4,16,6,0,31,1,3,5,1,6,3,5,0,3,13,3,12,18,1,0,3,18,18,12,0,0
38,Washington University in St. Louis,39,0,90,Not Required,1161,54250,41,4.9,53.5,3221,37.2,782,13.86425648,96.75923449,56,92.5,19.10607491,68.97321429,3.356226513,2,29,1,0,2,0,0,1,1,5,0,1,0,0,15,0,0,0,0,2,1,3,0,7,0,12
39,New York University (Tandon),40,0,0,Required,2284,1869,46,4.1,51.9,1850,24,991,33.01500682,3.333511691,40,89.64285714,10.47529116,39.50892857,6.06453285,11,14,1,0,11,6,11,8,1,20,1,10,3,1,44,1,10,38,0,5,5,17,1,12,3,0
40,"Rutgers, The State University of New Jersey--New Brunswick",41,0,83,Required,796,30144,39,2.1,14.6,2825,19.5,876,7.639836289,53.76424635,0,23.03571429,16.61315707,29.46428571,4.574316444,30,46,1,0,21,2,0,1,0,4,4,34,0,0,40,14,5,15,0,5,21,3,5,24,1,1
41,Boston University,42,0,84,Not Required,1111,54720,47,4.4,38.8,4479,22.7,1945,13.01159618,97.59751726,46,66.25,27.02549575,36.60714286,18.42684981,10,5,1,0,2,1,5,0,0,2,0,7,2,1,27,1,7,7,1,3,1,7,0,25,0,6
42,Iowa State University,43,3.3,79,Required,1340,27892,43,3.1,27.8,722,26,523,16.91678035,49.74762338,20,46.60714286,3.374252439,43.97321429,0,0,6,0,0,0,0,0,0,0,0,1,4,0,0,12,0,0,0,0,0,5,0,8,0,0,1
43,University of Arizona,44,3.2,79,Required,836,32065,34,2.7,57.3,854,45.7,624,8.321964529,57.19050422,12,99.28571429,4.205225055,87.94642857,1.308798756,0,0,0,0,0,0,0,0,0,0,2,1,0,0,9,0,0,11,0,1,0,0,0,2,5,0
44,Brown University,45,0,105,Not Required,488,8321,39,2.7,30.8,1634,10.4,971,2.38744884,14.84117217,12,51.96428571,9.115517784,9.151785714,5.805364779,2,8,1,0,11,4,2,0,0,2,2,1,0,0,11,0,6,7,1,2,22,5,0,10,2,0
45,Rensselaer Polytechnic Institute,46,0,88,Required,664,54000,43,3.7,37.1,893,46.8,852,5.388813097,96.3133394,32,63.21428571,4.450739692,90.40178571,4.26331476,0,16,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0
46,University of Massachusetts--Amherst,47,0,80,Not Required,1122,32392,38,3.3,39.1,2526,31,987,13.19918145,57.773735,24,66.78571429,14.73087819,55.13392857,6.012699235,8,19,0,0,26,6,0,0,1,4,3,11,0,6,46,13,16,36,0,6,7,4,5,30,2,0
47,University of Notre Dame,48,0,80,Not Required,544,54908,40,3.9,10.8,186,27.3,821,3.342428377,97.93283036,36,16.25,0,46.875,3.86160425,0,17,0,0,8,0,0,12,0,0,1,8,0,0,12,1,0,11,0,0,0,0,4,7,3,4
48,Stony Brook University--SUNY,49,3,80,Required,1279,23100,34,4.1,45.8,2692,51.1,831,15.87653479,41.2007063,40,78.75,15.7758892,100,3.991188286,5,17,7,1,24,0,1,3,0,2,2,11,3,12,11,6,2,17,0,0,5,17,2,56,5,1
49,University of Pittsburgh (Swanson),50,0,80,Required,794,45808,39,3.6,37.9,1816,32.3,800,7.605729877,81.70224909,30,64.64285714,10.26125275,58.03571429,3.589477776,,,,,,,,,,,,,,,,,,,,,,,,,,
